ID,age,gender,date_time,condition,chain,generation,phase,scene,map_code,dur,sec,desc,men_rot
M16,25,F,26-09-19/09:00-09:45,M,1,6,2,6,M1626,2:03,123,"Gå ud af porten og drej til højre med det samme. Gå lige ud af gangen og drej til venstre af gang nummer to. Fortsæt lige ud til blomsten findes, næsten helt nede for enden af gangen.","2,063683385"
M16,25,F,26-09-19/09:00-09:45,B,1,6,3,4,B1634,3:08,188,Gå ud af porten og gå straks til højre. Fortsæt lige ud af gangen og drej til venstre af vej nummer to. gå forbi bygningen der er rød og blå og drej til højre af første vej. Lige omkring hjørnet findes blomsten.,"2,063683385"
M21,24,F,26-09-19/12:00-12:45,M,2,1,1,NaN,NaN,NaN,NaN,NaN,"2,789964145"
M21,24,F,26-09-19/12:00-12:45,M,2,1,2,2,M2122,1:50,170,"For at finde blomsten starter ved porten og kigger til højre. Du går to gader ned til højre og har kanten af byen på din højre side. Når du står i krydset ved anden gade, drejer du til venstre og går tre gader ned, hvor blomsten vil kunne ses på din højre side.","2,789964145"
M21,24,F,26-09-19/12:00-12:45,B,2,1,3,1,B2131,2:46,164,- Start ved porten; - gå ligeud ad den lidt snoede sti (bygning med rød+blå firkanter på venstre hånd); - fortsæt til en stor åben plads helt hen til bygningen med gule og blå prikker.; - Gå lige ud indtil du rammer den gule og blå prikkede bygning; - kig til højre og spot bygningen med grønne+blå firkanter ; - når du næsten er nået hen til denne bygning vil blomsten dukke op på stien til venstre.,"2,789964145"
M22,21,M,26-09-19/13:00-13:45,M,2,2,1,2,NaN,1:03,63,NaN,"1,915996247"
M22,21,M,26-09-19/13:00-13:45,M,2,2,2,4,M2224,5:40,340,"Hej! Du går to blokke til højre, en blok til venstre og så ser du ned til højre.","1,915996247"
M22,21,M,26-09-19/13:00-13:45,B,2,2,3,3,B2233,4:12,252,"Hello there! Du går én blok til venstre, så drejer du til højre (tror jeg) og krydser pladsen, og går igennem den mørkeblå passage, til du ser blomsten på den venstre hånd mellem de mørkeblå huse og de grøn/lilla huse. Good luck!","1,915996247"
M23,31,F,26-09-19/14:00-14:45,M,2,3,1,4,NaN,1:56,116,NaN,"3,621785156"
M23,31,F,26-09-19/14:00-14:45,M,2,3,2,5,M2325,5:58,358,"kig lige ud fra porten, gå to blokke og drej til venstre , gå to blokke og drej til højre og kig til højre - imellem en blå blok og en rød blok med blå pletter","3,621785156"
M23,31,F,26-09-19/14:00-14:45,B,2,3,3,6,B2336,4:32,272,gå fra porten mod den lyserøde blok med røde stjerner og gå rundt om den blok . ,"3,621785156"
M24,24,M,26-09-19/15:00-15:45,M,2,4,1,5,NaN,1:41,101,NaN,"1,452656694"
M24,24,M,26-09-19/15:00-15:45,M,2,4,2,1,M2421,1:27,87,"Du starter i porten. Gå lige frem næsten indtil bunden af vejen, hvor du ser en blå prikket bygning på din højre side. Drej til højre og hold den prikkede bygning på din venstre hånd. Ved første venstre sving ser du blomsten. Selv tak ;)","1,452656694"
M24,24,M,26-09-19/15:00-15:45,B,2,4,3,4,B2434,2:58,178,Du starter i porten. Drej til første højre. Tag anden vej på venstre hånd ved den gule bygning med de røde pile. Rundt om første hjørne på højre hånd er blomsten.,"1,452656694"
M25,21,F,27-09-19/09:00-09:45,M,2,5,1,1,NaN,1:16,76,NaN,"3,521060959"
M25,21,F,27-09-19/09:00-09:45,M,2,5,2,6,M2526,5:57,357,"Start med at gå lige ud, til du ser en høj hvid bygning med lilla stjerner på den højre hånd. Bygningen skal være på din venstre side, når du er drejet. Fortsæt frem til du kan dreje til venstre. Blomsten er nu lige frem. God fornøjelse :-) ","3,521060959"
M25,21,F,27-09-19/09:00-09:45,B,2,5,3,5,B2535,3:28,208,"Start med at gå lige ud mod den hvide bygning med lilla stjerner. Drej til venstre, når du står mellem den hvide bygning med stjerne, og den røde bygning med blå firkanter. Hold bygning med blå firkanter på din højre hånd. Drej til højre første gang det er muligt. Fortsæt frem mod den røde bygning med blå stjerner, blomsten er nu på venstre hånd.  ","3,521060959"
M26,22,M,27-09-19/10:00-10:45,M,2,6,1,6,NaN,1:10,70,NaN,"2,445174078"
M26,22,M,27-09-19/10:00-10:45,M,2,6,2,3,M2623,4:15,255,"Drej til venstre med det samme. Drej derefter til højre for enden af den røde bygning på højre hånd. Gå derefter lige ud indtil, du er forbi den høje blå ternet bygning på venstre hånd. Blomsten vil være til venstre efter denne blå bygning.  ","2,445174078"
M26,22,M,27-09-19/10:00-10:45,B,2,6,3,2,B2632,6:24,384,Drej til højre med det samme. Gå lige ud til du støder på en mørkeblå bygning lige fremme. Denne skal du gå lidt til højre for og derefter lige ud så du har den gule bygning med blå cirkler på højre side. Når du når enden af en lyseblå bygning med røde cirkler drej til venstre. Gå lige ud indtil du er i starten af en  grøn bygning med lilla cirkler. Blomsten vil være til venstre før den grønne bygning med lilla cirkler. ,"2,445174078"
M31,21,M,27-09-19/11:00-11:45,M,3,1,1,NaN,NaN,NaN,NaN,NaN,"2,182951488"
M31,21,M,27-09-19/11:00-11:45,M,3,1,2,6,M3126,2:21,141,"Jeg gik ligeud indtil jeg kom til fjerde vej på min højre hånd, som også var en stor plads, her gik jeg til højre og så drejede jeg til højre igen ved den første vej på højre hånd.","2,182951488"
M31,21,M,27-09-19/11:00-11:45,B,3,1,3,3,B3133,2:49,169,"Jeg gik til venstre lige med det samme og drejede så til højre ved den første vej på højre hånd, herefter fortsatte jeg ligeud, igennem den store plads, indtil jeg mødte den første vej på venstre hånd, hvor blomsten var.","2,182951488"
M32,22,F,27-09-19/12:00-12:45,M,3,2,1,6,NaN,0:46,46,NaN,"1,265365852"
M32,22,F,27-09-19/12:00-12:45,M,3,2,2,3,M3223,1:34,94,"Drej til venstre ved anden vej på venstre hånd. Følg vejen en blok frem, hvor du kommer til en lille plads. Her drejer du til højre, og derefter til venstre ved første vej på venstre hånd.","1,265365852"
M32,22,F,27-09-19/12:00-12:45,B,3,2,3,1,B3231,2:34,154,"Start med at dreje til højre og følg vejen indtil den ender blindt lige fremme. Her drejer du til venstre, og følger igen vejen indtil den ender blindt. Drej igen til venstre, og anden vej på højre hånd finder du blomsten.","1,265365852"
M33,23,F,27-09-19/13:00-13:45,M,3,3,1,3,NaN,0:50,50,NaN,"1,875783049"
M33,23,F,27-09-19/13:00-13:45,M,3,3,2,4,M3324,1:50,110,Gå ud fra platformen og mod højre. Derefter tager du anden vej til venstre (lige før det blå/lilla-ternede hus - og lige efter et lyst hus med orange/brune trekanter). Derefter drejer du til højre med det samme (du skal kun lige rundt om hjørnet på det blå/lilla hus) - og så skulle der gerne være gevinst.,"1,875783049"
M33,23,F,27-09-19/13:00-13:45,B,3,3,3,2,B3332,8:05,485,"Du starter på platformen. Går til højre med det samme. Tager anden vej på venstre hånd, som er lige efter en gul blok med trekanter og lige før en blå/lilla-ternet blok. Herefter fortsætter du ligeud til den mørkeblå blok (mener, der er noget rødt på den - måske faktisk trekanter) - i hvert fald er den på højre side, hvor der er en stjernet blok på venstre side. Efter denne drejer du til højre (det er vist den tredje vej til højre). Og så bør der være gevinst.","1,875783049"
M34,25,F,27-09-19/14:00-14:45,M,3,4,1,4,NaN,0:46,46,NaN,"2,195488437"
M34,25,F,27-09-19/14:00-14:45,M,3,4,2,5,M3425,4:08,248,"Når du kommer ud fra porten skal du gå lige ud. Derefter skal du dreje til venstre ad 2. sidevej lige efter den røde ensfarvede bygning, og lige inden den orange/blå firkantede bygning. derefter skal du dreje direkte til højre lige efter den blå/orange bygning og inden en blå/lilla bygning. Når du kommer til den første vej til venstre efter den blå/lilla bygning, er den hvide blomst lige foran dig.","2,195488437"
M34,25,F,27-09-19/14:00-14:45,B,3,4,3,6,B3436,7:04,424,Når du kommer ud fra porten skal du gå direkte til højre ad 1. sidevej. så skal du gå til venstre ad 2. sidevej efter den gule/rød trekantede bygning. Derefter skal du gå lige ud til du har en lyserød/lilla stjernet bygning til venstre for dig. Den skal være på din venstre hånd mens du fortsætter lige ud. Så ser du den hvide blomst forude mellem den lyserød/lilla bygning og en grøn/lilla bygning.,"2,195488437"
M35,19,F,27-09-19/15:00-15:45,M,3,5,1,5,NaN,0:48,48,NaN,"4,452426346"
M35,19,F,27-09-19/15:00-15:45,M,3,5,2,1,M3521,4:17,257,"Når du står i porten, skal du bare fortsætte ned ad vejen indtil du når en stor åben plads. Før du går ud på pladsen vil du have en hvid bygning med lilla stjerner på din højre side og en rød bygning med blå vinduer på din venstre side. Når du står mellem disse to bygninger kan du se blomsten, hvis du kigger skråt til højre imellem to blå bygninger.","4,452426346"
M35,19,F,27-09-19/15:00-15:45,B,3,5,3,4,B3534,4:10,250,"Når du står ved porten, skal du dreje til højre af første sidevej. Du fortsætter lige ud af denne vej indtil du når 2. sidevej på venstre side. Her drejer du til venstre efter en gul bygning med røde pile og før en blå bygning. Derefter skal du dreje til højre med det samme, og her vil du finde blomsten.","4,452426346"
M36,32,M,30-09-19/08:00-08:45,M,3,6,1,1,NaN,1:15,75,NaN,"3,755054919"
M36,32,M,30-09-19/08:00-08:45,M,3,6,2,2,M3622,3:10,190,Når du står ved porten drej mod højre gå og gå lige og tag anden vej til venstre. Fortsæt et godt stykke op ad vejen indtil du når til nogle bygninger som har fyldt med (lilla) stjerner på din venstre og orange trekanter på din højre. Hvis du drejer til højre rundt om hjørnet ved bygningen med trekanterne vil blomsten stå lige foran dig. ,"3,755054919"
M36,32,M,30-09-19/08:00-08:45,B,3,6,3,5,B3635,2:31,151,"Når du står i porten gå da ligeud hen imod den rødvinsfarvede bygning og drej til venstre om den. Tag nogle få skridt frem indtil du ser den første vej på højre. Du vil have frit udsyn til en blå og rød bygning med stjerner på. Gå ned af vejen og stil dig ved bygningen, og blomsten vil være nærmest lige for fødderne af dig. ","3,755054919"
M41,20,M,30-09-19/09:00-09:45,M,4,1,1,NaN,NaN,NaN,NaN,NaN,"2,07706052"
M41,20,M,30-09-19/09:00-09:45,M,4,1,2,5,M4125,0:56,56,"Lige ud, første vej til venstre, derefter til højre, og så til venstre igen.","2,07706052"
M41,20,M,30-09-19/09:00-09:45,B,4,1,3,1,B4131,1:24,84,"Lige ud indtil, at der kommer en plads. På pladsen skal man tage vejen nede i det fjerne højre hjørne, og dreje til venstre igen med det samme.","2,07706052"
M42,21,M,30-09-19/10:00-10:45,M,4,2,1,5,NaN,0:41,41,NaN,"2,868151181"
M42,21,M,30-09-19/10:00-10:45,M,4,2,2,1,M4221,2:24,144,Lige ud indtil man ser en stor tom plads. Kig mod nordøst.,"2,868151181"
M42,21,M,30-09-19/10:00-10:45,B,4,2,3,4,B4234,3:33,213,Gå direkte til højre. Gå til den anden udgang til venstre. Gå gennem gangen og kig til højre.,"2,868151181"
M43,23,M,30-09-19/11:00-11:45,M,4,3,1,1,NaN,0:56,56,NaN,"2,06753638"
M43,23,M,30-09-19/11:00-11:45,M,4,3,2,2,M4322,2:36,156,"Gå til højre med det samme, så tag 2. til venstre, derefter 3. til højre.","2,06753638"
M43,23,M,30-09-19/11:00-11:45,B,4,3,3,3,B4333,4:46,286,"Fra porten, tag ikke første, men anden til venstre, derefter 2. til højre. Fortsæt lige ud indtil du finder blomsten første til venstre.","2,06753638"
M44,24,M,30-09-19/12:00-12:45,M,4,4,1,2,NaN,0:56,56,NaN,"3,043024765"
M44,24,M,30-09-19/12:00-12:45,M,4,4,2,6,M4426,2:56,176,"1. til højre, 2. til venstre og så ligefrem.","3,043024765"
M44,24,M,30-09-19/12:00-12:45,B,4,4,3,5,B4435,3:31,211,"Fremad, og tag 2. til venstre, 1. til højre, og så er den første gang til venstre.","3,043024765"
M45,20,M,30-09-19/13:00-13:45,M,4,5,1,6,NaN,1:10,70,NaN,"1,943147079"
M45,20,M,30-09-19/13:00-13:45,M,4,5,2,3,M4523,2:42,162,"Første til venstre, første til højre, anden til venstre","1,943147079"
M45,20,M,30-09-19/13:00-13:45,B,4,5,3,2,B4532,2:52,172,"Første højre, anden venstre (efter røde trekanter på gul bygning), tredje højre (før grønne cirkler på blå bygning)","1,943147079"
M46,22,F,30-09-19/14:00-14:45,M,4,6,1,3,NaN,0:43,43,NaN,"2,582857641"
M46,22,F,30-09-19/14:00-14:45,M,4,6,2,4,M4624,4:45,285,gå til højre med det samme. gå til venstre anden gang. gå lidt frem og blomsten er ved højre side ,"2,582857641"
M46,22,F,30-09-19/14:00-14:45,B,4,6,3,6,B4636,1:20,80,Kig lige frem og se den hvide væg med lyserøde stjerne. Gå hen til den. Følg væggen højre om - og fortsæt med din venstre side langs væggen til du finder blomsten,"2,582857641"
M51,24,F,30-09-19/15:00-15:45,M,5,1,1,NaN,NaN,NaN,NaN,NaN,"4,756404185"
M51,24,F,30-09-19/15:00-15:45,M,5,1,2,3,M5123,4:06,246,Start med at dreje til venstre først gang. Herefter hele vejen ned langs denne vej og drej til højre ved den sidste vej. Herefter fortsæt ned ad denne vej til der kommer en åben plads. Efter den åbne plads er blomsten på venstre hånd.,"4,756404185"
M51,24,F,30-09-19/15:00-15:45,B,5,1,3,5,B5135,5:41,341,Gå ret frem. Tag derefter første vej til venstre. Tag så første vej til højre. Til sidst er blomsten ved første vej på venstre hånd.,"4,756404185"
M52,23,F,30-09-19/16:00-16:45,M,5,2,1,3,NaN,0:58,58,NaN,"3,763633761"
M52,23,F,30-09-19/16:00-16:45,M,5,2,2,5,M5225,4:29,269,"Start med at gå til venstre. Gå ned af vejen og drej til højre ved den sidste vej. Gå ned ad denne vej og ved anden vej på højre, hånd finder du blomsten.","3,763633761"
M52,23,F,30-09-19/16:00-16:45,B,5,2,3,2,B5232,11:09,669,Start med at gå til højre. - Gå HELT til enden af denne vej - Drej til venstre - Tredje vej på venstre hånd finder du blomsten.,"3,763633761"
M53,21,F,01-10-19/08:00-08:45,M,5,3,1,5,NaN,0:44,44,NaN,"3,342223242"
M53,21,F,01-10-19/08:00-08:45,M,5,3,2,6,M5326,1:27,87,"Start med at gå til højre med det samme og gå ned af vejen. Så skal du tage anden vej til venstre, og gå ned af den vej for enden er blomsten.","3,342223242"
M53,21,F,01-10-19/08:00-08:45,B,5,3,3,1,B5331,4:29,269,"Start med at gå til højre med det samme, ved anden vej drejer du til venstre. Fortsæt ned af vejen til du når til tredje vej, den vej lige efter den blå blok med røde trekanter, der drejer du til højre og finder blomsten.","3,342223242"
M54,25,F,01-10-19/09:00-09:45,M,5,4,1,6,NaN,0:48,48,NaN,"4,046957185"
M54,25,F,01-10-19/09:00-09:45,M,5,4,2,2,M5422,2:54,175,"Start med at gå så langt til højre som muligt gå derefter op og ind ad nr. tre vej til venstre, der står blomsten. ","4,046957185"
M54,25,F,01-10-19/09:00-09:45,B,5,4,3,4,B5434,2:11,131,Start med at gå til højre gå op ad gang nummer to (mellem den gule og den blå bygning) Blomsten er på højre hånd for enden af den første blå bygning. ,"4,046957185"
M55,21,F,01-10-19/10:00-10:45,M,5,5,1,2,NaN,1:14,77,NaN,"1,847901176"
M55,21,F,01-10-19/10:00-10:45,M,5,5,2,4,M5524,3:07,187,"Tag vejen til højre og bagefter vej nummer 2 til venstre, og så den første vej til højre. Blomsten er der.","1,847901176"
M55,21,F,01-10-19/10:00-10:45,B,5,5,3,3,B5533,8:38,518,"Du går lige ud og ser det danske flag til højre (med grøn baggrund), så skal du til venstre, så tag vej nummer 2 til høje og blomsten ligger ved vej nummer 1 til venstre.","1,847901176"
M56,20,F,01-10-19/11:00-11:45,M,5,6,1,4,NaN,0:48,48,NaN,"2,964520868"
M56,20,F,01-10-19/11:00-11:45,M,5,6,2,1,M5621,3:49,229,"Start med at fortsætte lige ud og drej til højre, ved den fjerde vej. Gå så lige ud og gå ind af første vej til venstre. Der er blomsten. ","2,964520868"
M56,20,F,01-10-19/11:00-11:45,B,5,6,3,6,B5636,4:34,274,"Drej til højre, lige ud og drej til venstre ved anden vej. Fortsæt lige ud til du når for enden af den lyserøde bygning med lilla stjerner. Blomsten ligger dér. ","2,964520868"
M61,21,F,01-10-19/12:00-12:45,M,6,1,1,NaN,NaN,NaN,NaN,NaN,"4,611691478"
M61,21,F,01-10-19/12:00-12:45,M,6,1,2,4,M6124,4:50,290,Start med ryggen til start Gå ligeud indtil du ser den limegrønne bygning med røde firkanter Gå forbi denne bygning og drej til højre Gå ligeud Rosen vil være til din højre side placeret foran den bordeauxrøde bygning med blå firkanter,"4,611691478"
M61,21,F,01-10-19/12:00-12:45,B,6,1,3,6,B6136,5:13,313,Stå med ryggen til start Drej mod højre og gå ligeud Spot den gule bygning med røde trekanter (til venstre for dig) Drej til venstre efter denne bygning Gå lige ud forbi den gule bygning og den store hvide bygning med lyserøde stjerner Rosen vil være placeret et sted foran dig (og lige ved den hvide bygning med lyserøde stjerner),"4,611691478"
M62,25,M,02-10-19/09:00-09:45,M,6,2,1,4,NaN,1:09,69,NaN,"3,99729653"
M62,25,M,02-10-19/09:00-09:45,M,6,2,2,6,M6226,2:34,154,start med at gå til højre fra start. gå forbi en vej indtil du ser en hvid bygning med røde trekanter på din venstre side. efter denne bygning kigger du igen lige ud i banen og kan se blomsten. ,"3,99729653"
M62,25,M,02-10-19/09:00-09:45,B,6,2,3,1,B6231,8:20,500,lige ud fra start indtil du når den bagerste væg. stor høj figur der er blå med grønne runde cirkler. gå langs den og kig bagud ved første vej ,"3,99729653"
M63,21,M,02-10-19/14:00-14:45,M,6,3,1,6,NaN,0:48,48,NaN,"3,088972884"
M63,21,M,02-10-19/14:00-14:45,M,6,3,2,1,M6321,1:15,75,"Start med at gå ligeud et langt stykke indtil du kommer til en åben plads.; Når du kommer til den åbne plads, skal du kigge skråt til højre, klokken 2, hvor blomsten er placeret mellem 2 bygninger med runde prikker.","3,088972884"
M63,21,M,02-10-19/14:00-14:45,B,6,3,3,3,B6333,3:36,216,"Start med at gå til venstre, når du starter. Følg derefter banens yderste kant, indtil du finder blomsten.","3,088972884"
M64,22,M,02-10-19/15:00-15:45,M,6,4,1,1,NaN,0:42,42,NaN,"1,855636723"
M64,22,M,02-10-19/15:00-15:45,M,6,4,2,3,M6423,1:57,117,Drej til venstre med det samme ud af porten. Tag derefter den første højre. Fortsæt lige ud indtil du passerer blå bygninger til begge sider og drej til venstre lige før det røde tårn med blå stjerner.,"1,855636723"
M64,22,M,02-10-19/15:00-15:45,B,6,4,3,2,B6432,4:32,272,"Drej til højre lige ud af porten, fortsæt lige ud. Drej til venstre efter den gule bygning med røde trekanter. Fortsæt lige ud imellem den lyserøde bygning og den blå bygning. Drej til højre lige efter den blå bygning.","1,855636723"
M65,21,F,02-10-19/16:00-16:45,M,6,5,1,3,NaN,1:07,67,NaN,"1,690682551"
M65,21,F,02-10-19/16:00-16:45,M,6,5,2,2,M6522,4:49,289,Du går lige ud til du når en rød bygning med store blå tern. Her drejer du til venstre. Drej til højre anden gang. Inden længe er blomsten i en lille sidegade til venstre.,"1,690682551"
M65,21,F,02-10-19/16:00-16:45,B,6,5,3,5,B6535,4:04,244,Du går lige ud til du når en rød bygning med store blå tern. Her drejer du til venstre. Derefter drejer du til højre første gang. Kort tid efter er blomsten til venstre i en lille sidegade.,"1,690682551"
M66,22,F,04-10-19/10:00-10:45,M,6,6,1,2,NaN,3:11,191,NaN,"2,989365126"
M66,22,F,04-10-19/10:00-10:45,M,6,6,2,5,M6625,2:16,136,"Gå frem til du når den røde bygning med røde tern. Gå til venstre, der hvor bygningen er. Tag første vej på højre side. Derefter er den af første vej til venstre.  ","2,989365126"
M66,22,F,04-10-19/10:00-10:45,B,6,6,3,4,B6634,5:35,635,Gå direkte til højre ved porten. Følg denne vej indtil du når en lilla bygning med store blå tern. Drej til venstre ned af den vej. Blomsten ligger første vej til højre,"2,989365126"
